column,dtype_raw
NUEVO_ID,int64
WEEK_ID,object
UC_TRX,float64
ORAL_TRX,float64
IL23_TRX,float64
BRAND1_TRX,float64
BRAND2_TRX,float64
UC_NRX,float64
ORAL_NRX,float64
IL23_NRX,float64
BRAND1_NRX,float64
BRAND2_NRX,float64
N_CLMBRAND3,float64
N_CLMBRAND1,float64
N_CLMBRAND4,float64
N_CLMBRAND2,float64
N_CLMOTHERS,float64
BRAND1_NBRX,float64
BRAND2_NBRX,float64
ORAL_NBRX,float64
IL23_NBRX,float64
N_CLMBRAND3_NEW,float64
N_CLMBRAND1_NEW,float64
N_CLMBRAND4_NEW,float64
N_CLMBRAND2_NEW,float64
N_CLMOTHERS_NEW,float64
N_CLMBRAND3NEW_TO_BRAND,float64
N_CLMBRAND1_NEW_TO_BRAND,float64
N_CLMBRAND4_NEW_TO_BRAND,float64
N_CLMBRAND2_NEW_TO_BRAND,float64
N_CLMOTHERS_NEW_TO_BRAND,float64
RTE,float64
SAMPLES,float64
COPAY,float64
DIRECTMAIL,float64
SPK,float64
DETAILS,float64
UC_TRX_R4_16SUM,float64
ORAL_NBRX_R4_29SUM,float64
IL23_NBRX_R4_29SUM,float64
BRAND1_NTB_GIDX,float64
BRAND2_NTB_GIDX,float64
BRAND1_T_GIDX,float64
BRAND2_T_GIDX,float64
YEAR,int64
QTR,int64
YEAR_QTR,int64
SPEC_GE,int64
SPEC_GPFM,int64
SPEC_IM,int64
SPEC_NRP,int64
SPEC_OTHER_SPEC,int64
SPEC_PHA,int64
STATE_1,int64
STATE_2,int64
STATE_3,int64
STATE_4,int64
STATE_5,int64
STATE_6,int64
STS_OTHER_STS,int64
STATE_7,int64
STATE_8,int64
"(1940, 1960]",int64
"(1960, 1980]",int64
"(1980, 2000]",int64
"(2000, 2020]",int64
"(2020, 2030]",int64
ATSEG,object
